epoch,loss,acc
1,27.455637117628534,0.7306666666666667
2,22.433453466889407,0.8108333333333333
3,16.337321791155585,0.8618333333333333
4,13.320810217069248,0.908
5,11.973301026823972,0.9273333333333333
6,11.15626483638278,0.8906666666666667
7,10.559751350729417,0.9283333333333333
8,10.331381123074454,0.9303333333333333
9,9.927924541741007,0.9226666666666666
10,9.646935025803682,0.9213333333333333
11,9.457365842268102,0.9458333333333333
12,9.30089872770729,0.9526666666666667
13,9.156832562048569,0.9453333333333334
14,9.07406782905497,0.9513333333333334
15,8.954946412201018,0.9565
16,8.880412134630927,0.9486666666666667
17,8.824699779186181,0.933
18,8.74158677107939,0.957
19,8.671279165605869,0.9533333333333334
20,8.584379607800496,0.9528333333333333
21,8.55221899312685,0.955
22,8.513866170833284,0.9583333333333334
23,8.460923489435675,0.9355
24,8.402869291169464,0.9543333333333334
25,8.372059937464638,0.9503333333333334
26,8.30201930268341,0.954
27,8.292475283925514,0.9615
28,8.25599202247919,0.9466666666666667
29,8.199617784740525,0.9615
30,8.186049893409828,0.957
31,8.12936921068661,0.961
32,8.162293444065362,0.9606666666666667
33,8.08217114075469,0.9443333333333334
34,5.0758029727107985,0.9781666666666666
35,4.041576670551414,0.9781666666666666
36,3.6241397785375007,0.9781666666666666
37,3.3997922424187133,0.98
38,3.2707595590603904,0.978
39,3.2062901750330974,0.978
40,3.1974207568962423,0.9753333333333334
41,3.201778163595234,0.9733333333333334
42,3.2091316655189615,0.9745
43,3.206851874038524,0.9725
44,2.248860123041269,0.978
45,1.9413263340625695,0.979
46,1.7886300883948023,0.9766666666666667
47,1.678943507559376,0.9763333333333334
48,1.5900294109558804,0.9783333333333334
49,1.512399021425372,0.9771666666666666
50,1.4448081150775007,0.9795
