epoch,loss,acc
1,28.00595362033565,0.6666666666666666
2,26.095586980555805,0.7986666666666666
3,23.656759693330265,0.8438333333333333
4,20.322820783600093,0.8873333333333333
5,17.247000383177543,0.915
6,15.291391939092406,0.923
7,14.024295363839217,0.9305
8,13.148624429820762,0.934
9,12.513562572552194,0.9501666666666667
10,12.050761193875118,0.9491666666666667
11,11.65119347395323,0.9523333333333334
12,11.255238852699375,0.9613333333333334
13,10.952960270730395,0.962
14,10.75416202459346,0.9556666666666667
15,10.536358286210737,0.9553333333333334
16,10.417650480238203,0.951
17,10.2480045389405,0.955
18,10.135477435065871,0.9536666666666667
19,10.001345156014168,0.9523333333333334
20,9.88794240211341,0.9638333333333333
21,9.808020253819743,0.9561666666666667
22,9.73944259038524,0.953
23,6.9131307033371465,0.9733333333333334
24,5.9166218480860024,0.9748333333333333
25,5.449234177747111,0.974
26,5.181856439942316,0.9746666666666667
27,4.96633730133151,0.9763333333333334
28,4.804905443277348,0.9763333333333334
29,4.182648264248808,0.974
30,4.039521291365908,0.9726666666666667
31,3.962710655714449,0.9765
