epoch,loss,acc
1,28.446383535258548,0.6311666666666667
2,26.527534660794203,0.7913333333333333
3,24.303325674531163,0.8368333333333333
4,21.291562467645875,0.8978333333333334
5,18.158120832239415,0.9175
6,15.983954738578324,0.9315
7,14.605688471627852,0.9461666666666667
8,13.593027217852118,0.9535
9,12.874426371871554,0.9575
10,12.303696383507367,0.9413333333333334
11,9.290201877984474,0.972
12,8.217662108628366,0.967
13,7.724107038049516,0.971
14,7.388452347003435,0.9738333333333333
15,7.103046984184445,0.9751666666666666
16,6.864063613728543,0.9711666666666666
17,6.681476812394854,0.9745
18,6.514483024352581,0.9708333333333333
19,6.39018304007394,0.9693333333333334
20,6.307220371018915,0.9681666666666666
21,6.1663706214140985,0.9715
22,6.072347482224283,0.9636666666666667
23,4.931035522937238,0.9723333333333334
24,4.593551974194659,0.9746666666666667
25,4.4318387360889275,0.9725
26,4.308849046147178,0.9725
27,4.200148983666813,0.9725
