epoch,loss,acc
1,26.887444909163346,0.7228333333333333
2,24.736103604963578,0.8068333333333333
3,22.96873407825174,0.8641666666666666
4,21.13588570207525,0.8773333333333333
5,19.334764160911465,0.9025
6,17.731254646292687,0.9155
7,16.465459852572636,0.9203333333333333
8,15.447868326785729,0.9286666666666666
9,14.638833803320628,0.9311666666666667
10,13.948812476159215,0.9396666666666667
11,13.357665824675587,0.9401666666666667
12,12.89846888757798,0.9385
13,12.455112846683464,0.9403333333333334
14,12.079224657288284,0.9461666666666667
15,11.724718050962089,0.9401666666666667
16,10.217142848517952,0.9523333333333334
17,9.956140015068955,0.9555
18,9.839170261764956,0.956
19,9.74083320308724,0.955
20,9.662457155028129,0.956
21,9.599402457710326,0.9566666666666667
22,9.538972088671105,0.9555
23,9.475147269842193,0.956
24,9.421268270039853,0.956
25,9.371203002028578,0.9568333333333333
26,9.328173131052367,0.9573333333333334
27,9.277502870935155,0.9571666666666667
28,9.230908538681048,0.956
29,9.187669572733652,0.957
30,9.146064278781749,0.959
31,8.941768298669393,0.958
32,8.908705140125631,0.9608333333333333
33,8.898857977044328,0.9595
34,8.883528370422775,0.9581666666666667
35,8.886096124573955,0.958
36,8.857283173851812,0.9595
37,8.855328884382216,0.9591666666666666
38,8.855830086900092,0.9576666666666667
39,8.849609649623876,0.9591666666666666
40,8.853557496022589,0.9585
41,8.846282080938899,0.959
42,8.849785775784298,0.959
43,8.847082967296897,0.9588333333333333
44,8.848604948367793,0.9583333333333334
45,8.849714909951517,0.9583333333333334
46,8.843492961707614,0.9573333333333334
47,8.83868658690136,0.958
48,8.843182820705247,0.9593333333333334
49,8.847122863924007,0.959
50,8.842807837894984,0.9573333333333334
