epoch,loss,acc
1,28.31307942633956,0.6653333333333333
2,26.260656071460154,0.7813333333333333
3,24.255663746253443,0.8093333333333333
4,21.567782591915236,0.873
5,18.674850118441846,0.887
6,16.415129209932513,0.9435
7,14.828695878671446,0.9406666666666667
8,13.768437373758838,0.9383333333333334
9,12.915288400596387,0.9516666666666667
10,12.38706712433136,0.9458333333333333
11,11.886323032014415,0.9528333333333333
12,11.628998743535698,0.95
13,11.21414231664016,0.9555
14,10.927446594924842,0.9576666666666667
