epoch,loss,acc
1,28.30051694168417,0.6446666666666667
2,26.439487577423336,0.7703333333333333
3,24.45705381850424,0.8326666666666667
4,21.94280299775646,0.819
5,19.114339794163225,0.896
6,16.807172130546096,0.931
7,15.295967227562475,0.9396666666666667
8,14.245735577174596,0.943
9,13.482269799883642,0.9405
10,12.900572877632888,0.9413333333333334
11,12.482303106610498,0.9465
12,12.158199197664036,0.9556666666666667
13,11.875993260918907,0.9401666666666667
14,11.656381246611828,0.9511666666666667
15,11.467820765062982,0.9446666666666667
