epoch,loss,acc
1,31.952162872417436,0.622
2,24.076389081030246,0.6215
3,23.9389327299206,0.5815
4,23.8418668161227,0.6486666666666666
5,23.37380822463835,0.6595
6,22.968438917659935,0.7271666666666666
7,22.701031507871818,0.7183333333333334
8,22.542718046293484,0.7476666666666667
9,22.187204642022287,0.783
10,22.082516396675924,0.785
11,21.994857605718522,0.756
12,22.641835775901015,0.6961666666666667
13,22.56152512815323,0.7618333333333334
14,22.06407171105641,0.8131666666666667
15,21.770330519188107,0.8288333333333333
16,21.690808029088984,0.8353333333333334
17,21.639003614204672,0.814
18,21.985857715756875,0.822
19,21.56578745589884,0.8035
20,21.430282054253183,0.8186666666666667
21,21.388750149240913,0.7636666666666667
22,21.335391792323108,0.8525
23,21.305806156754898,0.8605
24,20.157006361353115,0.8683333333333333
25,19.73637944319117,0.884
26,19.618217142145866,0.8876666666666667
27,19.582798686419082,0.8936666666666667
28,19.56994434738588,0.8896666666666667
29,19.562764256823854,0.8958333333333334
30,19.522853018864737,0.8793333333333333
31,19.508486950491356,0.8955
32,19.497706517325746,0.9036666666666666
33,19.240234692533857,0.9045
34,19.172844484498718,0.9038333333333334
35,19.13950291902866,0.9035
36,19.115050246128217,0.9046666666666666
37,19.09542636635333,0.9051666666666667
38,19.07707414530528,0.9018333333333334
39,19.066735867306136,0.9036666666666666
40,19.053172065383002,0.905
