epoch,loss,acc
1,35.61496245981467,0.5598333333333333
2,23.386170654585868,0.7315
3,22.852544444980044,0.774
4,22.303722208196465,0.8483333333333334
5,21.845031875552554,0.8761666666666666
6,21.47074087220009,0.8981666666666667
7,21.245806335198758,0.903
8,21.089460738981614,0.9053333333333333
9,20.9733449666187,0.9048333333333334
10,20.897583137858998,0.92
11,20.834262544458564,0.9146666666666666
12,20.774559175125276,0.912
13,20.735496080282964,0.9226666666666666
14,20.699358617416536,0.9213333333333333
15,20.662299962958905,0.919
16,20.637632880548033,0.9223333333333333
17,20.6167142607949,0.9245
18,20.59339292362483,0.9146666666666666
19,20.576156919652764,0.9205
20,20.549834641543303,0.9201666666666667
21,20.535812760844376,0.9143333333333333
22,20.522011234302713,0.9233333333333333
23,19.307182764766193,0.9318333333333333
24,18.8596698587591,0.9361666666666667
25,18.76010138819916,0.9365
26,18.716806122750945,0.9396666666666667
27,18.68684066666497,0.9381666666666667
28,18.667752191273852,0.9365
29,18.6523965079375,0.9345
30,18.642556503565626,0.9341666666666667
31,18.640134946264403,0.9373333333333334
32,18.359637537387886,0.94
33,18.270496621276394,0.9385
34,18.223494161259044,0.9366666666666666
35,18.18693444463942,0.9386666666666666
36,18.15625723684677,0.9385
37,18.134833340693003,0.9383333333333334
38,18.109485392618662,0.9376666666666666
