epoch,loss,acc
1,27.0430511492753,0.7936666666666666
2,21.268827930500333,0.8953333333333333
3,14.747746910408193,0.9348333333333333
4,11.8776082300828,0.9476666666666667
5,10.539217731190067,0.9495
6,9.849343152448766,0.9358333333333333
7,9.420054858419757,0.9496666666666667
8,9.103675995938985,0.9593333333333334
9,8.892747855498307,0.9516666666666667
10,8.698019254788774,0.9626666666666667
11,8.542873566556063,0.9553333333333334
12,8.435584814738434,0.9488333333333333
13,8.30865594889973,0.9546666666666667
14,8.20959856138785,0.9458333333333333
15,8.12829428167037,0.9471666666666667
16,8.048688827031574,0.957
17,4.9381764796911325,0.9823333333333333
18,3.8607239092431085,0.9828333333333333
19,3.4347942472212947,0.98
20,3.1945850645035825,0.9815
21,3.0551082499670783,0.9805
22,2.9884350503242256,0.9783333333333334
23,2.9630341561739284,0.9796666666666667
24,2.95781865655738,0.9771666666666666
25,2.034518700079742,0.9803333333333333
26,1.7428188345945406,0.979
27,1.5999194667469732,0.9791666666666666
28,1.4943203895610804,0.9783333333333334
29,1.407884844205609,0.9796666666666667
30,1.335783867539747,0.979
31,1.2678363919966853,0.9781666666666666
32,1.1623549542514946,0.978
33,1.1472208303411566,0.9776666666666667
34,1.136607282581284,0.9786666666666667
35,1.125745127799253,0.978
36,1.1152400175612265,0.9776666666666667
37,1.1076100710668688,0.9778333333333333
38,1.1023614268205113,0.9778333333333333
39,1.0919359506735762,0.9778333333333333
40,1.0899728123944665,0.9788333333333333
41,1.0876147001981735,0.977
42,1.0884432016598342,0.9788333333333333
43,1.0872350596644507,0.9783333333333334
44,1.087615904375007,0.979
45,1.0864018377771558,0.9793333333333333
46,1.0836521610174679,0.9796666666666667
47,1.0844850602884213,0.9796666666666667
48,1.0822572541045519,0.9778333333333333
49,1.0846994980974798,0.9781666666666666
50,1.0844051254631932,0.9788333333333333
