epoch,loss,acc
1,4.228837895581103,0.9756666666666667
2,4.084968757575757,0.974
3,3.9652707885167193,0.9753333333333334
4,3.8662227251398282,0.9755
5,3.7735417315608606,0.9765
6,3.690665195977862,0.9756666666666667
7,3.604205515575087,0.9733333333333334
8,3.532859714280634,0.9741666666666666
9,3.4561326712939815,0.9733333333333334
10,3.385034533265739,0.9728333333333333
11,3.3151959608590778,0.974
12,3.249356160147788,0.972
13,3.177079722100892,0.9725
14,3.1106086514798004,0.971
15,3.046289354529236,0.9741666666666666
16,2.9815305734243918,0.9698333333333333
17,2.91538975665218,0.9706666666666667
18,2.853192873827116,0.9696666666666667
19,2.7958644022421306,0.9726666666666667
20,2.7366823534595417,0.97
21,2.6771983441941782,0.9693333333333334
22,2.6171905640407944,0.9725
23,2.5620199633663767,0.9695
24,2.5027169915768908,0.9675
